loss,val_loss,recon_loss,recon_loss_source,recon_loss_target
96.02606697451174,16.322503476103474,96.02606697451174,96.02242406721331,87.06835937236676
14.989187276588297,14.274464090993582,14.989187276588297,14.989902912390928,13.724664286101298
13.555659630306295,13.410943500266587,13.555659630306295,13.553769743173724,12.663057879374644
12.560297163740808,12.753403963136279,12.560297163740808,12.55705772607051,12.015603944117498
12.067352164576144,12.428468235268081,12.067352164576144,12.06335437149701,11.49201390757519
11.83465760455283,11.868657864814947,11.83465760455283,11.830346782033036,11.329692002325853
11.706709631785126,13.007400236839105,11.706709631785126,11.702164447642229,11.178253955463632
11.600513151478669,11.873012432382126,11.600513151478669,11.595784552899364,11.11135177814187
11.49328661030797,11.782403409973648,11.49328661030797,11.48833318640985,11.069617515437569
11.423696230042655,11.613063126556144,11.423696230042655,11.418594258093801,11.04957879725218
11.359737621821735,11.49646676276341,11.359737621821735,11.354437801731494,11.037564232005977
11.311409462666765,11.432312027481961,11.311409462666765,11.305630833555135,11.033793714920936
11.280776071702068,11.488599517128684,11.280776071702068,11.27500355874565,10.931223451954068
11.226820986116202,11.266365559633114,11.226820986116202,11.220908739903638,10.849754315502238
11.19549707789274,11.303541120418833,11.19549707789274,11.189461251639354,10.965428261070059
11.166340444804446,11.322928739973337,11.166340444804446,11.160244526097262,10.868263256039643
11.124256744507651,11.277908388248159,11.124256744507651,11.11817117533923,10.906009753069679
11.102013571274428,11.343641233838294,11.102013571274428,11.095908906675954,10.871425240477603
11.058315097599934,11.042304362147307,11.058315097599934,11.052062297492768,10.83844201859932
11.028362858750773,11.19651459465342,11.028362858750773,11.022008202452293,10.779218140473521
10.99706144240722,11.130058481673563,10.99706144240722,10.990526093133187,10.761099259314644
10.974033474209008,11.336540427089723,10.974033474209008,10.967404209300224,10.608927841291854
10.962014236485306,10.939213244383,10.962014236485306,10.955237589176493,10.735788200288887
10.946815395048013,10.953329586785687,10.946815395048013,10.940084917776826,10.814183852664897
10.916608671740459,11.00036219131848,10.916608671740459,10.909806960747092,10.632291140339092
10.908068073218285,11.00351450660012,10.908068073218285,10.9013169411959,10.738787990750884
10.88785645317713,11.197884078853386,10.88785645317713,10.880986894378452,10.789241495847811
10.874537361310036,10.838274084832058,10.874537361310036,10.867689621157762,10.698413345049012
10.873150726753723,11.910876175588813,10.873150726753723,10.866292283768704,10.603524629827254
10.870640136325518,10.964315847917037,10.870640136325518,10.86375625266274,10.673805659452562
10.847647241661749,10.885425886831992,10.847647241661749,10.840716929464257,10.650170126106133
10.849850534789308,10.976407634325264,10.849850534789308,10.84287116607652,10.586130849897065
10.825514691138235,10.766681797248273,10.825514691138235,10.81858228989806,10.691507353082649
10.81737131354889,10.893824167488035,10.81737131354889,10.810437478944557,10.668791476450261
10.80989018179994,10.784743565173189,10.80989018179994,10.802884771590183,10.681201427036642
10.801438546652514,10.929650897822103,10.801438546652514,10.794320899552593,10.62858703813408
10.792600019045047,10.796054075572115,10.792600019045047,10.785593060486008,10.647707138640838
10.791614631656342,10.843277458317024,10.791614631656342,10.784609044141282,10.591187959434906
10.777510250212682,10.766764120622115,10.777510250212682,10.770436599843798,10.540229908398533
10.78586811894269,10.736376356487431,10.78586811894269,10.778655039018822,10.641521280501989
10.76688790485928,10.849549179234781,10.76688790485928,10.759817005355842,10.60474067912692
10.767076994382013,13.992926747345727,10.767076994382013,10.760030038994246,10.642168632696919
10.756337216303088,10.710818613856292,10.756337216303088,10.74919602358555,10.610459127570977
10.750585625372446,11.30923196303943,10.750585625372446,10.743527110468886,10.525932084455285
